"Class? (MATH 143, PSY 202, etc)",Book Title,Book Author,Edition,Link,ISBN
BIO 351,Essentials of Genetics,"William S. Klug, et al.",9th,https://b-ok.cc/book/3515281/bb8526,
BIO 361,Animal Physiology,"Richard W. Hill, Gordon A. Wyse, Margaret Anderson",4,https://drive.google.com/open?id=1yrIOYqjilECxQXXOdzdYuagIEDK6iIQN,
BIO 361,Principles of Animal Physiology,"Richard W. Hill, Wyse, Anderson",3,https://drive.google.com/open?id=1LMcE7YYQ1HTHMdcMN6MaxKlBxdDE5fTv,
BIO 363,Conservation Biology,Bradley Cardinale,1,https://drive.google.com/open?id=1ao3L-qBb-cLLWz7100gmZYHxLs7vpqfL,
BIO 406,Neuroscience Exploring the Brain,"Mark Bear, Barry Connors, Michael Paradiso",4,https://drive.google.com/open?id=1OHrNxPvxuTjMRjDCNYdGALcH0V5fL6AH,9781284211283
BIO 407,Vertebrate Endocrinology,David O. Norris and James A. Carr,,https://drive.google.com/open?id=1SN_xJ1BnE0KAggHAkpY-eBV8fveXLCO_,
BIO 408,Human Physiology: An Integrative Approach,Dee Unglaub Silverthorn,8,https://drive.google.com/open?id=1OYScDP0Dx2TyWCLNRzNvIi3zM0IrI_vq,9780135212905
BIO 411,Grays anatomy for students,"Richard L. Drake, A. Wayne Vogl, Adam W. M. Mitchell",4,https://drive.google.com/open?id=1mP7aN6hCpzmujbWX-89gAysIhH983hfW,9780323393041
BIO 414,Evolution,Douglas Futuyma and Mark Kirkpatick,4th,https://ipfs.io/ipfs/bafykbzacedndfhukduhnphanzrji5v5xa6hj4rlo6zlog5blu4rerdvqn2yam?filename=Douglas%20J.%20Futuyma%20and%20Mark%20Kirkpatrick%20-%20Evolution-Sinauer%20Associates%2C%20INC%20%282017%29.pdf,
BIO 426,Kuby Immunology,"Stranford, Owen, Punt, & Jones,",8th,"file:///C:/Users/Unstable%20Unicorn/Downloads/[E%C4%9Fitim%20Tanr%C4%B1s%C4%B1]%20Jenni%20Punt,%20Sharon%20Stranford,%20Patricia%20Jones,%20Judith%20A%20Owen%20-%20Kuby%20Immunology%20(2018,%20W.%20H.%20Freeman)%20-%20libgen.li.pdf",
bio 426 - immunology,Kuby Immunology,"Owen, Punt and Stranford",8,https://drive.google.com/open?id=17HmUM5-grCXxRBiDghqgK-IVA_gqRk5o,
Bio 428,Essential Haematology,"Hoffbrand, AV and PAH Moss",8,https://drive.google.com/open?id=1NJlK6q0PUsTKTNyAFhMe9OWMTdvOLCMw,9781119495901
BIO 442,Animal Behavior: An Evolutionary Approach,John Alcock,10,https://drive.google.com/open?id=1AnwjmxOmMnBfmkFddHymT3k0ZcmpuYj_,
BIO 452,Molecular Cell Biology,Lodish et al.,8,https://www.academia.edu/31490803/Molecular_Cell_Biology_8th_ed_Lodish_et.al,
bio 452,Molecular Cell Biology,Lodish et al.,8,https://drive.google.com/open?id=1eUcahVlhtDN1-DbofN1FegrMLpk_-mS7,
BIO 452,Molecular Cell Biology,David Baltimore and Harvey Lodish,9,https://drive.google.com/open?id=1gnK4suy3ohAT30eVM_bbVociDFBcbTpN,
BIO 452,Molecular Cell Biology,Lodish et al.,8,https://drive.google.com/open?id=1wxxus8JVpAkwpCVZPtdmJq_156Yye9Hl,
BIO-227,The Overstory,Richard Powers,,https://drive.google.com/open?id=1Ye0A1I8PufoATaN0ppgd6PysP9zPZJj9,
Biology,Molecular Cell Biology,Lodish,,http://diyhpl.us/~bryan/papers2/bio/books/Molecular%20Cell%20Biology%20-%20Lodish%20-%202008.pdf,
BMED 410,Introductory Biomechanics,Ethier and Simmons,1st,https://enggbiochem.files.wordpress.com/2014/08/biomechanics-from-cells-to-organisms.pdf,
